 const           X2              X3              U1              U0              V               Y1              Y0              D               Y             
1.0             -0.672829       -0.604425        0.074707        0.214711        0.754760        0.701287        0.546504       0.0              0.546504      
1.0             -0.022543        2.192356       -0.027911       -0.120914        0.351972        0.959578        0.373450       0.0              0.373450      
1.0             -1.177127        0.117293       -0.177758        0.001376       -1.283906        0.168936        0.207095       1.0              0.168936      
1.0             -1.059338       -0.062168       -0.043697        0.030785       -0.046172        0.368370        0.265950       1.0              0.368370      
1.0              1.584742       -0.717290        0.051933       -0.030635        0.030577        1.931465        0.865551       1.0              1.931465      
1.0              0.798351        0.154075        0.116581       -0.034014        1.087584        1.559665        0.665574       0.0              0.665574      
1.0              0.837445       -0.988619       -0.037243        0.016221       -0.201651        1.427539        0.725582       1.0              1.427539      
1.0             -0.603813       -0.150279       -0.038600       -0.141119       -0.111102        0.626284        0.207928       1.0              0.626284      
1.0              0.342358       -0.504495       -0.158132        0.041138        0.111141        1.031876        0.626727       1.0              1.031876      
1.0              0.279959        1.136445        0.073847        0.058906        0.674931        1.229224        0.628896       0.0              0.628896      
1.0              0.054746        0.443532        0.024525       -0.115430        0.157685        1.054908        0.398256       1.0              1.054908      
1.0             -1.561519        0.627662        0.008400       -0.222094        0.034812        0.141758       -0.112474       1.0              0.141758      
1.0             -0.708432        1.480942        0.033090        0.103417        1.035106        0.639910        0.426309       0.0              0.426309      
1.0              0.066980       -0.759908       -0.005034       -0.158348        0.575039        1.032139        0.358397       1.0              1.032139      
1.0             -1.293182       -0.789510       -0.230954        0.068092       -1.352484        0.051330        0.244796       1.0              0.051330      
1.0              0.248968        1.075904       -0.020159        0.029084       -0.059969        1.118018        0.591326       1.0              1.118018      
1.0             -1.201856        0.988225       -0.067100        0.100499       -0.510779        0.265870        0.300035       1.0              0.265870      
1.0             -1.301261       -0.634835       -0.112409        0.098842       -0.788777        0.165391        0.273527       1.0              0.165391      
1.0              0.170641        1.504522       -0.038312        0.073154       -0.213431        1.056394        0.615814       1.0              1.056394      
1.0              0.992112       -0.019663        0.067103       -0.028557       -0.602574        1.617725        0.719471       1.0              1.617725      
1.0              0.002151        1.695989        0.080427        0.030712        1.113458        1.081621        0.531250       0.0              0.531250      
1.0              0.713082        2.085475       -0.062198        0.021272        0.907798        1.333563        0.699543       0.0              0.699543      
1.0             -0.084807        0.409088        0.061996        0.109369       -0.633608        1.014928        0.588167       1.0              1.014928      
1.0              0.075219        0.206204       -0.059702        0.062762       -0.633310        0.982045        0.581566       1.0              0.982045      
1.0              0.084804        1.416700        0.127204       -0.008750        1.550264        1.174271        0.512451       0.0              0.512451      
1.0             -0.924129       -0.317442       -0.089346       -0.246756        0.480192        0.397763        0.022211       1.0              0.397763      
1.0              1.072278       -2.178540       -0.046751       -0.031133        1.272416        1.548363        0.736937       0.0              0.736937      
1.0             -0.171557       -0.549719       -0.005520        0.089501       -0.942046        0.899266        0.546612       1.0              0.899266      
1.0              0.607850        1.071537        0.128013        0.025465       -0.774216        1.465369        0.677427       1.0              1.465369      
1.0              0.605739        1.739209       -0.038539       -0.011301        0.728928        1.297646        0.640134       0.0              0.640134      
1.0             -0.935374       -0.135451        0.221260        0.278225        0.510228        0.702127        0.544382       0.0              0.544382      
1.0             -1.052379        0.952182        0.264862       -0.059013        2.966522        0.680792        0.177892       0.0              0.177892      
1.0              1.031471        0.117823        0.047602       -0.140987        2.132035        1.620069        0.616881       0.0              0.616881      
1.0             -1.752689       -1.926391       -0.077896        0.126195       -0.266070       -0.050639        0.188023       1.0             -0.050639      
1.0              1.401571       -1.350633       -0.035100        0.259179       -1.934503        1.742772        1.109572       1.0              1.742772      
1.0              0.178569       -1.695591        0.167943       -0.004018       -0.370099        1.267048        0.540624       1.0              1.267048      
1.0             -1.286298       -0.112256        0.030413       -0.074196       -0.137012        0.316518        0.104229       1.0              0.316518      
1.0              0.071992       -0.409959        0.134481       -0.040404        0.666922        1.174436        0.477594       0.0              0.477594      
1.0              1.743243        0.411098        0.056524        0.084448        0.760827        2.024023        1.020258       0.0              1.020258      
1.0             -1.419321       -0.198684       -0.077697       -0.053902       -0.956470        0.134580        0.091268       1.0              0.134580      
1.0              0.014202       -1.129853        0.014909       -0.058083        0.486613        1.022791        0.445468       1.0              1.022791      
1.0              0.526569        0.396694       -0.061436        0.061610       -1.703438        1.230809        0.693252       1.0              1.230809      
1.0              0.617618       -1.994962        0.172430       -0.017598        0.276938        1.515208        0.636807       1.0              1.515208      
1.0             -0.260619       -0.292246       -0.123143        0.070411       -0.291160        0.732214        0.505256       1.0              0.732214      
1.0              0.476778       -0.043363        0.166115       -0.014562        0.570355        1.430727        0.604632       0.0              0.604632      
1.0              1.160492        1.167817       -0.115041       -0.013817       -0.628896        1.529032        0.776306       1.0              1.529032      
1.0              1.325569       -0.624776       -0.128491       -0.044167       -0.248197        1.607200        0.787225       1.0              1.607200      
1.0              0.148515       -0.534985       -0.119458       -0.123161        0.422043        0.962968        0.413967       1.0              0.962968      
1.0              0.641714        0.633699       -0.038686        0.009382       -0.173694        1.317465        0.669811       1.0              1.317465      
1.0             -0.805266       -0.995342       -0.106971       -0.127093       -0.295412        0.446106        0.171590       1.0              0.446106      
1.0             -1.796743        0.377985       -0.171162        0.014550       -1.064700       -0.168355        0.065364       1.0             -0.168355      
1.0              0.888003       -0.651703        0.036147       -0.014077       -0.430638        1.528989        0.707924       1.0              1.528989      
1.0              0.160235        0.373738       -0.108964        0.055929        0.650248        0.979967        0.595988       0.0              0.595988      
1.0              1.003254       -0.250175       -0.079652       -0.056255       -1.064770        1.477154        0.694558       1.0              1.477154      
1.0              0.860851        0.287166       -0.029314       -0.142013       -1.222148        1.448458        0.573200       1.0              1.448458      
1.0              1.843642       -0.427716       -0.075058        0.070886       -0.788665        1.948163        1.031797       1.0              1.948163      
1.0             -0.442688        0.547351        0.130797        0.081170        0.680109        0.885105        0.470498       0.0              0.470498      
1.0             -0.914568        0.946551        0.056090        0.084546        0.296568        0.548505        0.355904       0.0              0.355904      
1.0              0.390783       -1.962461       -0.011473        0.131948       -0.205481        1.205412        0.729644       1.0              1.205412      
1.0              1.335151        0.262195       -0.179401        0.099422       -1.019434        1.561608        0.933210       1.0              1.561608      
1.0             -1.062201       -0.144355        0.019715       -0.020631        0.771610        0.430194        0.213819       0.0              0.213819      
1.0              1.462636        0.142433       -0.010671        0.260519       -0.041284        1.801091        1.126178       1.0              1.801091      
1.0              1.863897       -1.161837       -0.011731       -0.031631        1.021555        2.022731        0.934343       0.0              0.934343      
1.0              1.448378       -0.902569       -0.179875       -0.105202       -0.410533        1.623975        0.756893       1.0              1.623975      
1.0              0.321223       -0.791313       -0.079406        0.006459       -1.504724        1.098873        0.586765       1.0              1.098873      
1.0              0.592776        1.559796       -0.002789        0.025547        0.432631        1.326201        0.673741       0.0              0.673741      
1.0              1.124760        0.156537       -0.090639       -0.187807       -0.827974        1.533603        0.593383       1.0              1.533603      
1.0              0.144233       -0.200296        0.031102        0.048648       -0.426436        1.111151        0.584706       1.0              1.111151      
1.0             -1.449022        1.970090        0.015980        0.093441        0.580229        0.211773        0.231185       0.0              0.231185      
1.0             -0.689876       -1.931697       -0.017559       -0.006195       -1.735382        0.599560        0.321336       1.0              0.599560      
1.0             -0.945280       -0.262646        0.110602        0.113271        0.762116        0.585972        0.376951       0.0              0.376951      
1.0              1.310074        0.315023       -0.034676       -0.056478        0.303063        1.692415        0.771040       0.0              0.771040      
1.0              0.038641       -0.311599        0.045452       -0.105695        1.152860        1.066898        0.403965       0.0              0.403965      
1.0             -0.526820        0.353965        0.131127        0.017046        1.064986        0.838742        0.385341       0.0              0.385341      
1.0             -0.479349       -0.480296        0.052557       -0.220205        0.451995        0.786519        0.159958       1.0              0.786519      
1.0             -1.935611        0.747091        0.171593       -0.048773       -0.894548        0.097328       -0.032676       1.0              0.097328      
1.0              0.702355       -0.242419       -0.066195        0.034297       -0.057515        1.323612        0.709885       1.0              1.323612      
1.0             -0.471615       -0.037026        0.017653       -0.011636        0.597499        0.755906        0.370460       0.0              0.370460      
1.0             -0.964162        0.041230        0.089781        0.083631        0.105681        0.554671        0.342590       1.0              0.554671      
1.0             -0.383145       -0.155401       -0.040911        0.078504        0.195657        0.746444        0.482718       1.0              0.746444      
1.0             -0.058272        0.344677        0.015466       -0.164122        1.191012        0.983125        0.321310       0.0              0.321310      
1.0              0.405626       -1.372084        0.099534       -0.076551       -0.303194        1.324657        0.524856       1.0              1.324657      
1.0             -0.507111       -1.830194        0.046739       -0.175834       -0.436967        0.765292        0.197389       1.0              0.765292      
1.0              1.422315       -1.437752        0.017431        0.136672        1.167740        1.806815        0.992251       0.0              0.992251      
1.0             -1.048896       -0.482420        0.042643       -0.013169       -0.524122        0.460506        0.224607       1.0              0.460506      
1.0             -0.837547       -0.432736        0.085199       -0.042529        0.881565        0.620360        0.248085       0.0              0.248085      
1.0              0.111292       -0.452691       -0.032480       -0.101657       -0.741645        1.029287        0.426166       1.0              1.029287      
1.0              0.365882        1.432952       -0.115988        0.118374       -1.375828        1.087077        0.709845       1.0              1.087077      
1.0              0.377410       -1.302200        0.119607        0.082862        1.073089        1.329069        0.677214       0.0              0.677214      
1.0              0.279239        0.123810       -0.024587       -0.203181        0.939345        1.130390        0.366628       0.0              0.366628      
1.0              0.493269        0.783305        0.054398        0.056628        0.906491        1.328162        0.679946       0.0              0.679946      
1.0             -0.551149       -2.499492        0.131573       -0.042167       -0.212102        0.825685        0.320046       1.0              0.825685      
1.0             -0.061341       -0.789808       -0.074955        0.022798       -0.440672        0.891000        0.507462       1.0              0.891000      
1.0              0.695059        0.538952       -0.023029        0.026634       -0.340287        1.362729        0.700399       1.0              1.362729      
1.0              1.308641        0.802318       -0.018970        0.038835       -0.864318        1.707326        0.865995       1.0              1.707326      
1.0              0.376617       -0.728431        0.066498       -0.111119        0.267908        1.275520        0.483035       1.0              1.275520      
1.0             -2.031234       -0.795554       -0.048014        0.049745       -0.239350       -0.175349        0.041936       1.0             -0.175349      
1.0             -1.536246       -0.760726       -0.034834        0.173711       -0.242759        0.112549        0.289650       1.0              0.112549      
1.0             -0.043266        1.755260        0.144578        0.044363        2.768877        1.120565        0.533546       0.0              0.533546      
1.0              2.038004       -2.248080       -0.155983       -0.217730       -0.382928        1.975110        0.791771       1.0              1.975110      
1.0             -1.632616        0.780967       -0.085063        0.033204        1.184658        0.008835        0.125050       0.0              0.125050      
1.0             -1.629210       -0.844313       -0.170245       -0.054175       -0.093985       -0.074456        0.038522       1.0             -0.074456      
1.0              0.870323       -0.694606        0.106925       -0.016531       -0.320060        1.589954        0.701050       1.0              1.589954      
1.0             -0.119601        0.438043        0.091283        0.210462       -0.467374        1.024904        0.680562       1.0              1.024904      
1.0             -2.151555       -1.320649        0.011411       -0.069417        0.843229       -0.182702       -0.107305       1.0             -0.182702      
1.0              0.782011       -1.401625       -0.010685        0.051942        0.557660        1.423331        0.747445       1.0              1.423331      
1.0              0.442530       -0.004401       -0.072177        0.015424       -0.288831        1.173427        0.626056       1.0              1.173427      
1.0             -1.015654        0.537066       -0.000380       -0.050218       -0.281809        0.435931        0.195869       1.0              0.435931      
1.0             -0.899063       -0.161577       -0.089530        0.032190       -1.256049        0.411490        0.307424       1.0              0.411490      
1.0             -0.620654       -1.239162        0.002933       -0.128441       -0.000217        0.658470        0.216396       1.0              0.658470      
1.0              1.814151        1.640563       -0.023024        0.192975       -0.336250        1.983829        1.146513       1.0              1.983829      
1.0              1.923421       -0.535267        0.001967        0.108365        0.192451        2.069466        1.089220       1.0              2.069466      
1.0             -0.035582        1.151431        0.165948        0.033661       -0.531352        1.146200        0.524766       1.0              1.146200      
1.0             -1.010910       -1.138048        0.006135        0.106133        1.342610        0.445080        0.353405       0.0              0.353405      
1.0             -1.179895        0.580071       -0.129614        0.066607       -0.370876        0.215544        0.271633       1.0              0.215544      
1.0              2.255464        0.199889       -0.061897        0.001145       -0.839679        2.189886        1.065011       1.0              2.189886      
1.0              0.464405       -0.829575        0.044681        0.156388       -0.860686        1.302426        0.772489       1.0              1.302426      
1.0             -1.010407       -0.702732       -0.020996        0.148327       -0.689000        0.418228        0.395725       1.0              0.418228      
1.0              0.423036        0.809292        0.053004       -0.127193        1.498254        1.287789        0.478566       0.0              0.478566      
1.0              0.909351       -1.660767        0.013174        0.105966       -0.126905        1.517864        0.833304       1.0              1.517864      
1.0             -1.738592        0.871890        0.033722       -0.025148       -0.060076        0.068803        0.040204       1.0              0.068803      
1.0             -0.537974       -0.535867       -0.101775       -0.004974       -2.766950        0.599649        0.360532       1.0              0.599649      
1.0              0.281698       -0.907806        0.037600        0.027184       -2.181653        1.193942        0.597609       1.0              1.193942      
1.0              1.314068        0.303212        0.017209       -0.028539        0.126876        1.746517        0.799978       1.0              1.746517      
1.0             -1.632880        2.223742        0.000450        0.094534        0.297916        0.094202        0.186313       0.0              0.186313      
1.0             -2.158338       -0.322862        0.045749       -0.027222       -0.848777       -0.152129       -0.066806       1.0             -0.152129      
1.0             -1.095652        0.738236        0.079517        0.143283        0.753920        0.471431        0.369370       0.0              0.369370      
1.0              0.948258       -0.350574       -0.039760        0.194118       -1.540455        1.486523        0.931182       1.0              1.486523      
1.0             -0.293695        1.616331        0.069910        0.025161       -0.391312        0.906909        0.451737       1.0              0.906909      
1.0             -0.444535       -1.313844        0.072593       -0.191211        0.419907        0.825876        0.197656       1.0              0.825876      
1.0              0.938436        0.088134       -0.088235       -0.040388       -0.311193        1.432598        0.694221       1.0              1.432598      
1.0             -1.177344        1.018060       -0.090555        0.002953       -0.618154        0.256020        0.208617       1.0              0.256020      
1.0              0.744540       -0.820132        0.100077       -0.012972       -0.266620        1.513297        0.673163       1.0              1.513297      
1.0             -1.637458        0.429964        0.021811       -0.061724        1.763396        0.113022        0.028911       0.0              0.028911      
1.0             -0.817289        0.333850        0.003421       -0.076660       -1.754611        0.549825        0.219018       1.0              0.549825      
1.0             -0.273454       -0.062408       -0.108400       -0.083763       -1.479344        0.739833        0.347873       1.0              0.739833      
1.0             -0.194222        1.433775       -0.074356        0.237514       -2.462657        0.817851        0.688958       1.0              0.817851      
1.0              0.814899       -0.464129       -0.155712       -0.062003       -0.113117        1.296557        0.641722       1.0              1.296557      
1.0             -0.289907       -1.282776       -0.000600       -0.185365        0.827482        0.838502        0.242158       1.0              0.838502      
1.0              1.393805        2.246830        0.065553       -0.090225        0.705027        1.839115        0.758226       0.0              0.758226      
1.0              0.115522       -0.042478        0.080802        0.048564       -0.503873        1.144916        0.577445       1.0              1.144916      
1.0              0.260968       -0.016830       -0.052434       -0.069266       -0.545442        1.092403        0.495977       1.0              1.092403      
1.0              0.958911        0.553497        0.010953       -0.102940       -0.119265        1.543148        0.636787       1.0              1.543148      
1.0             -0.213001        0.271622       -0.178443        0.099629       -1.776681        0.703341        0.546379       1.0              0.703341      
1.0              1.099276       -1.959143        0.165405        0.081498        0.845081        1.775503        0.856317       1.0              1.775503      
1.0             -0.743346        0.074028        0.018421        0.094499       -0.512263        0.605863        0.408663       1.0              0.605863      
1.0              1.174886        0.679607        0.204027        0.104410        0.781854        1.856089        0.898131       0.0              0.898131      
1.0              0.160251       -1.076231        0.105009        0.042003       -0.939189        1.193948        0.582066       1.0              1.193948      
1.0              0.157331       -1.812375       -0.153902       -0.104368        0.559964        0.933417        0.434965       1.0              0.933417      
1.0              0.651185        0.845173       -0.149871        0.134429       -0.239359        1.211537        0.797225       1.0              1.211537      
1.0             -0.648019        0.131746        0.114567        0.009961        0.193791        0.754917        0.347956       1.0              0.754917      
1.0              2.165306       -0.593700        0.089834        0.078826        0.695575        2.291578        1.120152       0.0              1.120152      
1.0             -2.610652       -1.404587        0.004831        0.027822        0.393030       -0.444081       -0.124841       1.0             -0.444081      
1.0              0.972098       -0.310848        0.044822       -0.004605        0.974305        1.584337        0.738419       0.0              0.738419      
1.0             -0.190890       -1.283558       -0.127951       -0.139815       -0.634043        0.766105        0.312462       1.0              0.766105      
1.0              0.715827        0.932192       -0.042082        0.233062       -0.519091        1.355203        0.912018       1.0              1.355203      
1.0              1.676878        0.689277        0.050781        0.174010        0.043417        1.981448        1.093230       1.0              1.981448      
1.0             -1.345865        1.528562        0.059031       -0.001737       -0.214071        0.312076        0.161797       0.0              0.161797      
1.0             -0.311106       -0.365292        0.079385       -0.016623        0.368967        0.906721        0.405601       1.0              0.906721      
1.0              0.121828       -0.806485        0.045981       -0.026467        0.562384        1.113595        0.503990       1.0              1.113595      
1.0             -1.138839       -0.212133       -0.067758        0.028189       -0.326091        0.300187        0.243479       1.0              0.300187      
1.0             -0.925396        0.725851       -0.092251       -0.015341        0.223815        0.394154        0.253310       0.0              0.253310      
1.0              0.120274        0.731327        0.019391        0.107819       -0.316888        1.086144        0.637888       1.0              1.086144      
1.0             -1.139057       -1.235760       -0.034758       -0.196375        1.012842        0.333066        0.018861       0.0              0.018861      
1.0             -0.386277       -0.203214       -0.029867        0.011946       -0.858335        0.755749        0.415377       1.0              0.755749      
1.0              1.266983       -0.636862       -0.045942        0.059731       -0.053734        1.657233        0.876477       1.0              1.657233      
1.0              0.109157       -1.028830       -0.076934       -0.153065       -0.096058        0.983648        0.374225       1.0              0.983648      
1.0              0.310690        0.315164        0.084191        0.045123        1.199618        1.256624        0.622796       0.0              0.622796      
1.0              1.327840        1.156627       -0.127119       -0.088454       -0.575907        1.609832        0.743506       1.0              1.609832      
1.0              0.715280        1.033083       -0.048044        0.155986        0.126899        1.348936        0.834806       0.0              0.834806      
1.0              0.844831       -1.806402       -0.074597       -0.056126        0.664287        1.394284        0.655081       1.0              1.394284      
1.0              0.186948       -0.107138       -0.038107       -0.079632       -0.043483        1.065649        0.467105       1.0              1.065649      
1.0              1.272015        0.386139       -0.115859       -0.141554       -0.652019        1.590109        0.676450       1.0              1.590109      
1.0              1.836068        1.687098        0.073462        0.058828       -0.787045        2.092480        1.017845       1.0              2.092480      
1.0              0.212184        0.980052       -0.026147       -0.052266        0.763332        1.091615        0.500779       0.0              0.500779      
1.0              2.367518        1.407838       -0.114013       -0.215741        0.078167        2.199959        0.876139       0.0              0.876139      
1.0             -0.731035       -0.334352        0.056867        0.049694       -0.101996        0.651142        0.366935       1.0              0.651142      
1.0             -1.524051       -1.500339        0.038666        0.044465        0.022367        0.192818        0.163453       1.0              0.192818      
1.0              0.169218       -0.817079       -0.028967       -0.078671       -0.401479        1.064949        0.463634       1.0              1.064949      
1.0              0.940691        0.004246       -0.074846        0.129196       -1.071746        1.447237        0.864368       1.0              1.447237      
1.0             -1.143861        0.732886       -0.063987        0.066521       -0.402504        0.301170        0.280556       1.0              0.301170      
1.0              0.733109        0.257558       -0.115133        0.106904       -0.847297        1.291742        0.790181       1.0              1.291742      
1.0              0.862538        0.886756        0.087297       -0.092104       -0.048730        1.566005        0.623530       1.0              1.566005      
1.0              2.106010       -0.394823        0.063958        0.095362        0.372315        2.232794        1.121864       1.0              2.232794      
1.0             -0.445710        0.335190        0.163478       -0.075338        1.808655        0.916108        0.313235       0.0              0.313235      
1.0             -1.931429        0.036506       -0.080377       -0.003038       -0.997038       -0.152320        0.014105       1.0             -0.152320      
1.0             -2.680359        1.667865        0.142723        0.037764        0.168785       -0.344877       -0.132326       0.0             -0.132326      
1.0              0.172473        1.512405       -0.146431        0.000896       -1.658201        0.949291        0.544014       1.0              0.949291      
1.0              0.012503       -0.671734       -0.030707       -0.097704       -0.604214        0.976232        0.405422       1.0              0.976232      
1.0              1.112323        0.163082       -0.110667        0.140753       -1.316243        1.506672        0.918834       1.0              1.506672      
1.0             -0.755357        0.341165       -0.062434        0.029618        0.531574        0.518343        0.340779       0.0              0.340779      
1.0             -0.084950        0.540388       -0.004437       -0.036454        0.903297        0.948415        0.442308       0.0              0.442308      
1.0             -2.970835        0.901827       -0.163642       -0.252807       -0.425489       -0.812456       -0.495516       1.0             -0.812456      
1.0             -1.782680        0.477944        0.066017        0.100722        0.365393        0.076630        0.155052       0.0              0.155052      
1.0             -0.345024       -1.505910        0.014265        0.055581        1.702589        0.822776        0.469325       0.0              0.469325      
1.0             -0.549515        0.725889        0.047784        0.124422       -0.588685        0.742803        0.487043       1.0              0.742803      
1.0              0.305924       -0.132468       -0.026113        0.113890       -0.931301        1.143675        0.690371       1.0              1.143675      
1.0             -0.699925       -1.383892        0.055066        0.172781        1.869018        0.666608        0.497800       0.0              0.497800      
1.0             -0.793768        1.179745        0.081863        0.171138        0.834065        0.641322        0.472696       0.0              0.472696      
1.0             -2.165512        0.756856       -0.034841        0.028544        0.225708       -0.236700       -0.012834       0.0             -0.012834      
1.0              0.228592       -2.006739        0.056537        0.021477        0.037898        1.183405        0.578625       1.0              1.183405      
1.0              0.561852        1.757986        0.072791        0.094729        1.694428        1.384619        0.735192       0.0              0.735192      
1.0              0.701200       -0.955799       -0.010867       -0.097872       -0.160654        1.378299        0.577428       1.0              1.378299      
1.0             -0.237721       -0.216884        0.041280       -0.005019        0.522454        0.909345        0.435550       0.0              0.435550      
1.0             -0.014902       -0.226657        0.080705       -0.067242        0.539504        1.072434        0.429033       0.0              0.429033      
1.0             -0.514864       -0.832989       -0.175869        0.029607       -0.185459        0.538382        0.400891       1.0              0.538382      
1.0              1.466615        0.459518       -0.010674       -0.058153        0.688982        1.803297        0.808501       0.0              0.808501      
1.0              0.332799       -2.052943        0.006596       -0.002147       -0.227137        1.191300        0.581053       1.0              1.191300      
1.0             -1.119988        0.217568        0.076463       -0.097388       -0.906950        0.454869        0.122615       1.0              0.454869      
1.0              0.217014        1.203895       -0.060193        0.087542       -0.155656        1.060250        0.641795       1.0              1.060250      
1.0             -0.219086        0.123225       -0.171733       -0.125995       -1.684776        0.706675        0.319233       1.0              0.706675      
1.0             -1.267926       -1.080547        0.040466        0.053061        0.275099        0.336766        0.236080       1.0              0.336766      
1.0             -0.124431       -0.711116       -0.045003       -0.035941       -0.071186        0.885938        0.432952       1.0              0.885938      
1.0             -0.699546       -1.720197        0.000417       -0.113819       -0.070033        0.612169        0.211295       1.0              0.612169      
1.0              1.113990       -0.258708        0.009848       -0.091316       -0.119306        1.628113        0.687181       1.0              1.628113      
1.0              0.478500       -0.442198        0.065988       -0.051417       -0.483553        1.331556        0.568208       1.0              1.331556      
1.0             -0.679101       -1.358046       -0.097519        0.148163       -0.781605        0.525580        0.478388       1.0              0.525580      
1.0              0.243119        0.764977       -0.047117        0.154378       -0.006079        1.087815        0.715158       1.0              1.087815      
1.0              1.365045        0.547132        0.098473       -0.038547        0.652583        1.856073        0.802714       0.0              0.802714      
1.0              0.006563       -0.304513       -0.087993       -0.092573        0.883288        0.915649        0.409067       0.0              0.409067      
1.0              0.642423        0.034470        0.099829        0.103292       -0.165661        1.456373        0.763897       1.0              1.456373      
1.0             -0.175541       -0.983350       -0.060700       -0.105200       -0.262503        0.841875        0.350915       1.0              0.841875      
1.0              0.188491        1.078490        0.067664        0.125429       -0.929995        1.172276        0.672552       1.0              1.172276      
1.0             -0.543154       -0.854516        0.237022       -0.090445        1.280880        0.935572        0.273767       0.0              0.273767      
1.0             -0.366783       -0.000512        0.064367        0.093678        1.309658        0.860803        0.501982       0.0              0.501982      
1.0              0.082180       -0.076663        0.000514        0.047450        1.955089        1.046124        0.567995       0.0              0.567995      
1.0             -0.184124       -1.070993       -0.048224       -0.108118        1.657206        0.849588        0.345851       0.0              0.345851      
1.0             -0.678879        0.969110       -0.006782        0.010625        1.215794        0.616440        0.340905       0.0              0.340905      
1.0              1.016237        1.035323        0.071860       -0.079264        0.536672        1.635871        0.674796       0.0              0.674796      
1.0             -1.421877       -1.335144       -0.121320        0.031138       -1.111384        0.089538        0.175668       1.0              0.089538      
1.0              0.548493       -0.890414        0.031193       -0.007370        2.569658        1.335606        0.629753       0.0              0.629753      
1.0              0.197699        2.272724       -0.028573       -0.121343        0.183550        1.081150        0.428081       0.0              0.428081      
1.0              0.215301        0.517827        0.123783        0.041977       -0.575556        1.243275        0.595802       1.0              1.243275      
1.0              0.381769       -0.043318        0.061260        0.056320       -0.422476        1.273142        0.651762       1.0              1.273142      
1.0              1.280731       -0.016761        0.059123       -0.029616        0.693076        1.769929        0.790567       0.0              0.790567      
1.0              0.245519        0.145861       -0.062283       -0.032742       -0.573933        1.073980        0.528638       1.0              1.073980      
1.0              0.793279        2.039228        0.116991       -0.074224       -0.180048        1.557261        0.624095       0.0              0.624095      
1.0             -0.177150        1.709538        0.046180       -0.113931        1.436922        0.947862        0.341781       0.0              0.341781      
1.0              0.240194        0.261650        0.065482       -0.175375        0.543854        1.198789        0.384674       0.0              0.384674      
